"fecha_del_experimento","mu_inicial","mu_final","mu_dias_cambio","beta_inicial","beta_final","beta_dias_cambio","S0","I0","R0","tiempo","S","I","R"

03/06/2020 20:53:30,0.1,0.1,30,0.001,0.002,10,1500,1,0,59.94,0.0,6.0,1495.0
03/06/2020 20:54:10,0.1,0.2,30,0.001,0.002,10,1500,1,0,59.94,0.0,0.0,1501.0
03/06/2020 20:54:26,0,0,30,1e-05,1e-05,10,1500,1,0,59.94,1499.0,2.0,0.0
03/06/2020 20:54:34,0.1,0.1,30,1e-05,1e-05,10,1500,1,0,59.94,1500.0,0.0,1.0
03/06/2020 20:55:45,0.1,0.1,30,1e-05,1e-05,10,1500,1,0,59.94,1500.0,0.0,1.0
03/06/2020 21:01:51,0.1,0.1,30,1e-05,1e-05,10,1500,1,0,59.94,1500.0,0.0,1.0
03/06/2020 21:02:04,0.1,0.1,30,0.0001,0.0001,10,1500,1,0,59.94,1447.0,18.0,36.0
03/06/2020 21:02:10,0.1,0.1,30,0.001,0.001,10,1500,1,0,59.94,0.0,6.0,1495.0
04/06/2020 01:54:53,0.1,0.1,30,0.001,0.001,10,150000,1,0,59.94,nan,nan,nan
04/06/2020 01:55:00,0.1,0.1,30,0.001,0.001,10,15000,1,0,59.94,0.0,40.0,14961.0
04/06/2020 01:55:07,0.1,0.1,30,0.001,0.001,10,99999,1,0,59.94,nan,nan,nan
04/06/2020 01:55:18,0.1,0.1,30,0.001,0.001,10,89999,1,0,59.94,nan,nan,nan
04/06/2020 01:55:21,0.1,0.1,30,0.001,0.001,10,79999,1,0,59.94,nan,nan,nan
04/06/2020 01:55:24,0.1,0.1,30,0.001,0.001,10,69999,1,0,59.94,nan,nan,nan
04/06/2020 01:55:26,0.1,0.1,30,0.001,0.001,10,59999,1,0,59.94,nan,nan,nan
04/06/2020 01:55:29,0.1,0.1,30,0.001,0.001,10,49999,1,0,59.94,0.0,135.0,49865.0
04/06/2020 01:55:36,0.1,0.1,30,0.001,0.001,10,50000,1,0,59.94,0.0,135.0,49866.0
04/06/2020 01:55:39,0.1,0.1,30,0.001,0.001,10,50001,1,0,59.94,0.0,135.0,49867.0
04/06/2020 01:55:44,0.1,0.1,30,0.001,0.001,10,50500,1,0,59.94,-0.0,135.0,50366.0
04/06/2020 01:56:45,0.1,0.1,30,0.001,0.001,10,40000,1,0,59.94,-0.0,104.0,39897.0
04/06/2020 01:56:49,0.1,0.1,30,0.001,0.001,10,30000,1,0,59.94,0.0,78.0,29923.0
04/06/2020 01:56:54,0.1,0.1,30,0.001,0.001,10,20000,1,0,59.94,-0.0,53.0,19948.0
